T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2023-2024,,,,,,,
,,,,,,,
YEAR,REGION,COUNTY NAME,DISTRICT,DISTRICT NAME,CHARTER STATUS,GRADE,ENROLLMENT
2023-2024,19,EL PASO COUNTY,71810,EL PASO LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 10,143
2023-2024,19,EL PASO COUNTY,71810,EL PASO LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 11,107
2023-2024,20,BEXAR COUNTY,15836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,OPEN ENROLLMENT CHARTER,Kindergarten,55
2023-2024,20,BEXAR COUNTY,15836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 1,50
2023-2024,20,BEXAR COUNTY,15836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 2,55
2023-2024,20,BEXAR COUNTY,15836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 3,59
2023-2024,20,BEXAR COUNTY,15836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 4,68
2023-2024,20,BEXAR COUNTY,15836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 5,58
2023-2024,20,BEXAR COUNTY,15836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 6,50
2023-2024,20,BEXAR COUNTY,15836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 7,55
2023-2024,20,BEXAR COUNTY,15836,ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY,OPEN ENROLLMENT CHARTER,Grade 8,50
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,<30
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Kindergarten,27
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Grade 1,29
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Grade 2,33
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Grade 3,22
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Grade 4,40
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Grade 5,37
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Grade 6,30
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Grade 7,30
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Grade 8,37
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Grade 9,45
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Grade 10,33
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Grade 11,29
2023-2024,9,WICHITA COUNTY,243902,ELECTRA ISD,TRADITIONAL ISD/CSD,Grade 12,24
2023-2024,4,HARRIS COUNTY,101877,ELEVATE COLLEGIATE CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Pre-kindergarten,35
2023-2024,4,HARRIS COUNTY,101877,ELEVATE COLLEGIATE CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Kindergarten,31
2023-2024,4,HARRIS COUNTY,101877,ELEVATE COLLEGIATE CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 1,46
2023-2024,4,HARRIS COUNTY,101877,ELEVATE COLLEGIATE CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 2,22
2023-2024,4,HARRIS COUNTY,101877,ELEVATE COLLEGIATE CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 3,20
2023-2024,4,HARRIS COUNTY,101877,ELEVATE COLLEGIATE CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 4,20
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Early Education,23
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,252
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Kindergarten,395
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Grade 1,391
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Grade 2,399
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Grade 3,441
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Grade 4,411
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Grade 5,409
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Grade 6,364
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Grade 7,405
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Grade 8,400
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Grade 9,462
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Grade 10,534
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Grade 11,408
2023-2024,13,BASTROP COUNTY,11902,ELGIN ISD,TRADITIONAL ISD/CSD,Grade 12,421
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,70
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Kindergarten,90
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Grade 1,86
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Grade 2,86
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Grade 3,85
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Grade 4,88
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Grade 5,88
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Grade 6,109
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Grade 7,89
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Grade 8,91
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Grade 9,92
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Grade 10,81
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Grade 11,69
2023-2024,7,ANDERSON COUNTY,1903,ELKHART ISD,TRADITIONAL ISD/CSD,Grade 12,<70
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,<30
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Kindergarten,66
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Grade 1,54
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Grade 2,65
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Grade 3,45
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Grade 4,62
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Grade 5,61
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Grade 6,61
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Grade 7,67
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Grade 8,53
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Grade 9,60
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Grade 10,67
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Grade 11,52
2023-2024,7,HARRISON COUNTY,102906,ELYSIAN FIELDS ISD,TRADITIONAL ISD/CSD,Grade 12,62
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Early Education,18
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,409
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Kindergarten,481
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Grade 1,534
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Grade 2,472
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Grade 3,468
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Grade 4,451
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Grade 5,434
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Grade 6,460
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Grade 7,432
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Grade 8,459
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Grade 9,518
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Grade 10,484
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Grade 11,440
2023-2024,10,ELLIS COUNTY,70903,ENNIS ISD,TRADITIONAL ISD/CSD,Grade 12,406
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,<20
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Kindergarten,33
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Grade 1,32
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Grade 2,36
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Grade 3,41
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Grade 4,39
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Grade 5,43
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Grade 6,35
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Grade 7,36
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Grade 8,36
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Grade 9,45
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Grade 10,36
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Grade 11,38
2023-2024,11,COOKE COUNTY,49906,ERA ISD,TRADITIONAL ISD/CSD,Grade 12,41
2023-2024,11,ERATH COUNTY,72802,ERATH EXCELS ACADEMY INC,OPEN ENROLLMENT CHARTER,Grade 7,<10
2023-2024,11,ERATH COUNTY,72802,ERATH EXCELS ACADEMY INC,OPEN ENROLLMENT CHARTER,Grade 8,<10
2023-2024,11,ERATH COUNTY,72802,ERATH EXCELS ACADEMY INC,OPEN ENROLLMENT CHARTER,Grade 9,34
2023-2024,11,ERATH COUNTY,72802,ERATH EXCELS ACADEMY INC,OPEN ENROLLMENT CHARTER,Grade 10,26
2023-2024,11,ERATH COUNTY,72802,ERATH EXCELS ACADEMY INC,OPEN ENROLLMENT CHARTER,Grade 11,30
2023-2024,11,ERATH COUNTY,72802,ERATH EXCELS ACADEMY INC,OPEN ENROLLMENT CHARTER,Grade 12,12
2023-2024,20,BEXAR COUNTY,15844,ESSENCE PREPARATORY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Pre-kindergarten,21
2023-2024,20,BEXAR COUNTY,15844,ESSENCE PREPARATORY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Kindergarten,23
2023-2024,20,BEXAR COUNTY,15844,ESSENCE PREPARATORY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 1,28
2023-2024,20,BEXAR COUNTY,15844,ESSENCE PREPARATORY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 2,17
2023-2024,20,BEXAR COUNTY,15844,ESSENCE PREPARATORY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 3,26
2023-2024,20,BEXAR COUNTY,15844,ESSENCE PREPARATORY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 4,23
2023-2024,20,BEXAR COUNTY,15844,ESSENCE PREPARATORY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 5,29
2023-2024,20,BEXAR COUNTY,15844,ESSENCE PREPARATORY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 6,13
2023-2024,4,HARRIS COUNTY,101872,ETOILE ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Kindergarten,119
2023-2024,4,HARRIS COUNTY,101872,ETOILE ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 1,108
2023-2024,4,HARRIS COUNTY,101872,ETOILE ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 2,74
2023-2024,4,HARRIS COUNTY,101872,ETOILE ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 5,128
2023-2024,4,HARRIS COUNTY,101872,ETOILE ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 6,171
2023-2024,4,HARRIS COUNTY,101872,ETOILE ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 7,108
2023-2024,4,HARRIS COUNTY,101872,ETOILE ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 8,98
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,23
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Kindergarten,39
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Grade 1,37
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Grade 2,41
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Grade 3,46
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Grade 4,39
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Grade 5,40
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Grade 6,35
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Grade 7,30
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Grade 8,36
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Grade 9,31
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Grade 10,20
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Grade 11,35
2023-2024,14,CALLAHAN COUNTY,30906,EULA ISD,TRADITIONAL ISD/CSD,Grade 12,<20
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,<80
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Kindergarten,112
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Grade 1,134
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Grade 2,135
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Grade 3,132
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Grade 4,125
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Grade 5,117
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Grade 6,140
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Grade 7,143
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Grade 8,127
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Grade 9,131
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Grade 10,137
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Grade 11,108
2023-2024,7,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,Grade 12,90
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Early Education,<10
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,27
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Kindergarten,22
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Grade 1,25
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Grade 2,25
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Grade 3,25
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Grade 4,26
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Grade 5,33
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Grade 6,33
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Grade 7,30
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Grade 8,31
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Grade 9,<30
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Grade 10,23
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Grade 11,32
2023-2024,5,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,Grade 12,31
2023-2024,12,CORYELL COUNTY,50901,EVANT ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,15
2023-2024,12,CORYELL COUNTY,50901,EVANT ISD,TRADITIONAL ISD/CSD,Kindergarten,15
2023-2024,12,CORYELL COUNTY,50901,EVANT ISD,TRADITIONAL ISD/CSD,Grade 1,18
2023-2024,12,CORYELL COUNTY,50901,EVANT ISD,TRADITIONAL ISD/CSD,Grade 2,16
2023-2024,12,CORYELL COUNTY,50901,EVANT ISD,TRADITIONAL ISD/CSD,Grade 3,15
2023-2024,12,CORYELL COUNTY,50901,EVANT ISD,TRADITIONAL ISD/CSD,Grade 4,13
2023-2024,12,CORYELL COUNTY,50901,EVANT ISD,TRADITIONAL ISD/CSD,Grade 5,14
2023-2024,12,CORYELL COUNTY,50901,EVANT ISD,TRADITIONAL ISD/CSD,Grade 6,10
2023-2024,12,CORYELL COUNTY,50901,EVANT ISD,TRADITIONAL ISD/CSD,Grade 7,17
2023-2024,12,CORYELL COUNTY,50901,EVANT ISD,TRADITIONAL ISD/CSD,Grade 8,15
2023-2024,12,CORYELL COUNTY,50901,EVANT ISD,TRADITIONAL ISD/CSD,Grade 9,15
2023-2024,12,CORYELL COUNTY,50901,EVANT ISD,TRADITIONAL ISD/CSD,Grade 10,12
2023-2024,12,CORYELL COUNTY,50901,EVANT ISD,TRADITIONAL ISD/CSD,Grade 11,19
2023-2024,12,CORYELL COUNTY,50901,EVANT ISD,TRADITIONAL ISD/CSD,Grade 12,10
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Early Education,16
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,250
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Kindergarten,268
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Grade 1,321
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Grade 2,346
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Grade 3,357
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Grade 4,358
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Grade 5,346
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Grade 6,373
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Grade 7,379
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Grade 8,355
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Grade 9,551
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Grade 10,419
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Grade 11,390
2023-2024,11,TARRANT COUNTY,220904,EVERMAN ISD,TRADITIONAL ISD/CSD,Grade 12,410
2023-2024,10,DALLAS COUNTY,57834,EVOLUTION ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 9,109
2023-2024,10,DALLAS COUNTY,57834,EVOLUTION ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 10,187
2023-2024,10,DALLAS COUNTY,57834,EVOLUTION ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 11,205
2023-2024,10,DALLAS COUNTY,57834,EVOLUTION ACADEMY CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,Grade 12,177
2023-2024,4,HARRIS COUNTY,101811,EXCEL ACADEMY,OPEN ENROLLMENT CHARTER,Grade 6,<10
2023-2024,4,HARRIS COUNTY,101811,EXCEL ACADEMY,OPEN ENROLLMENT CHARTER,Grade 7,<10
2023-2024,4,HARRIS COUNTY,101811,EXCEL ACADEMY,OPEN ENROLLMENT CHARTER,Grade 8,21
2023-2024,4,HARRIS COUNTY,101811,EXCEL ACADEMY,OPEN ENROLLMENT CHARTER,Grade 9,125
2023-2024,4,HARRIS COUNTY,101811,EXCEL ACADEMY,OPEN ENROLLMENT CHARTER,Grade 10,60
2023-2024,4,HARRIS COUNTY,101811,EXCEL ACADEMY,OPEN ENROLLMENT CHARTER,Grade 11,17
2023-2024,4,HARRIS COUNTY,101811,EXCEL ACADEMY,OPEN ENROLLMENT CHARTER,Grade 12,<10
2023-2024,1,HIDALGO COUNTY,108809,EXCELLENCE IN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Pre-kindergarten,34
2023-2024,1,HIDALGO COUNTY,108809,EXCELLENCE IN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Kindergarten,20
2023-2024,1,HIDALGO COUNTY,108809,EXCELLENCE IN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 1,20
2023-2024,1,HIDALGO COUNTY,108809,EXCELLENCE IN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 2,21
2023-2024,1,HIDALGO COUNTY,108809,EXCELLENCE IN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 3,26
2023-2024,1,HIDALGO COUNTY,108809,EXCELLENCE IN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 4,13
2023-2024,1,HIDALGO COUNTY,108809,EXCELLENCE IN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 5,20
2023-2024,1,HIDALGO COUNTY,108809,EXCELLENCE IN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 6,24
2023-2024,1,HIDALGO COUNTY,108809,EXCELLENCE IN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 7,23
2023-2024,1,HIDALGO COUNTY,108809,EXCELLENCE IN LEADERSHIP ACADEMY,OPEN ENROLLMENT CHARTER,Grade 8,19
2023-2024,7,SHELBY COUNTY,210906,EXCELSIOR ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,<10
2023-2024,7,SHELBY COUNTY,210906,EXCELSIOR ISD,TRADITIONAL ISD/CSD,Kindergarten,11
2023-2024,7,SHELBY COUNTY,210906,EXCELSIOR ISD,TRADITIONAL ISD/CSD,Grade 1,<10
2023-2024,7,SHELBY COUNTY,210906,EXCELSIOR ISD,TRADITIONAL ISD/CSD,Grade 2,14
2023-2024,7,SHELBY COUNTY,210906,EXCELSIOR ISD,TRADITIONAL ISD/CSD,Grade 3,<10
2023-2024,7,SHELBY COUNTY,210906,EXCELSIOR ISD,TRADITIONAL ISD/CSD,Grade 4,<10
2023-2024,7,SHELBY COUNTY,210906,EXCELSIOR ISD,TRADITIONAL ISD/CSD,Grade 5,<10
