T E X A S  E D U C A T I O N  A G E N C Y,,,,,,,
,,,,,,,
PEIMS Student Enrollment Data for 2023-2024,,,,,,,
,,,,,,,
YEAR,REGION,COUNTY NAME,DISTRICT,DISTRICT NAME,CHARTER STATUS,GRADE,ENROLLMENT
2023-2024,17,HALE COUNTY,95901,ABERNATHY ISD,TRADITIONAL ISD/CSD,Grade 8,64
2023-2024,17,HALE COUNTY,95901,ABERNATHY ISD,TRADITIONAL ISD/CSD,Grade 9,58
2023-2024,17,HALE COUNTY,95901,ABERNATHY ISD,TRADITIONAL ISD/CSD,Grade 10,46
2023-2024,17,HALE COUNTY,95901,ABERNATHY ISD,TRADITIONAL ISD/CSD,Grade 11,66
2023-2024,17,HALE COUNTY,95901,ABERNATHY ISD,TRADITIONAL ISD/CSD,Grade 12,58
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Early Education,231
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Pre-kindergarten,677
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Kindergarten,1095
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Grade 1,1149
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Grade 2,1119
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Grade 3,1126
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Grade 4,1014
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Grade 5,1049
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Grade 6,1010
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Grade 7,1052
2023-2024,14,TAYLOR COUNTY,221901,ABILENE ISD,TRADITIONAL ISD/CSD,Grade 8,1050
